Name,Age,Faculty_Number,EGN,Salary,Grade,City
Mark Veskov,25,45678,6511159876,2200.45BGN,4.75,Varna
Georgi Nikolov,24,34567,7712108765,1800.00BGN,3.50,Burgas
Petar Stoyanov,23,23456,8803201234,1500.00BGN,4.25,Plovdiv
Dimitar Todorov,23,0MI180400321,8203154321,1350.60BGN,5.00,Plovdiv
Ivan Petrov,22,12345,9512154321,1200.50BGN,5.50,Sofia
Elena Ivanova,22,0120400123,9612234567,1100.30BGN,5.25,Sofia
Krasi Stoeva,22,56789,9412207654,1050.80BGN,5.50,Sofia
Ginka Dimitrova,20,0150400789,1034567890,950.25BGN,5.75,Sofia
Maria Georgieva,21,0120400456,0245127834,800.00BGN,6.00,Varna
Maria Georgieva,21,0120400456,0245127834,800.00BGN,6.00,Varna
